100000000000000000,30632,32541,30273
10000000000000000000000000,30656,32565,30297
1000000000000000000000000000000000,30680,32589,30321
1000000000000000000000000000000000000000000000000000000000,30764,32673,30405
100000000000000000000000000000000000000000000000000000000000000000,30788,32697,30429
10000000000000000000000000000000000000000000000000000000000000000000000000,30824,32733,30465
1000000000,30596,32505,30237
100000000000000000000000000000000000000000,30716,32625,30357
10000000000000000000000000000000000000000000000000,30740,32649,30381
10,30572,49581,47313
