1000000000,25236,25241,0
100000000000000000,25272,25277,0
10000000000000000000000000,25296,25301,0
1000000000000000000000000000000000,25320,25325,0
1000000000000000000000000000000000000000000000000000000000,25404,25409,0
10000000000000000000000000000000000000000000000000000000000000000000000000,25464,25469,0
10,25212,25217,0
100000000000000000000000000000000000000000,25356,25361,0
10000000000000000000000000000000000000000000000000,25380,25385,0
100000000000000000000000000000000000000000000000000000000000000000,25428,25433,0
