10000000000000000000000000,29756,29858,29790
10000000000000000000000000000000000000000000000000000000000000000000000000,29924,30026,29958
10,29672,46874,46806
100000000000000000,29732,29834,29766
1000000000000000000000000000000000,29780,29882,29814
100000000000000000000000000000000000000000,29816,29918,29850
10000000000000000000000000000000000000000000000000,29840,29942,29874
1000000000000000000000000000000000000000000000000000000000,29864,29966,29898
100000000000000000000000000000000000000000000000000000000000000000,29888,29990,29922
1000000000,29696,29798,29730
