10000000000000000000000000,52544,53025,50735
100000000000000000000000000000000000000000000000000000000000000000,52676,53157,50867
10000000000000000000000000000000000000000000000000000000000000000000000000,52712,53193,50903
10,52460,52941,50651
1000000000,52484,52965,50675
100000000000000000,52520,53001,50711
1000000000000000000000000000000000,52556,53049,50759
100000000000000000000000000000000000000000,52604,53085,50795
10000000000000000000000000000000000000000000000000,52628,53109,50819
1000000000000000000000000000000000000000000000000000000000,52652,53121,50843
